Y,X,PC_4,Year,Gemeente code,Provincie code,Provincie name,Gemeente name
51.4595708886,5.50496910989,5631,2020,772,30,Noord-Brabant,Eindhoven
51.4861191446,5.60783954262,5708,2020,794,30,Noord-Brabant,Helmond
51.5435884563,5.63282730843,5741,2020,1659,30,Noord-Brabant,Laarbeek
51.5320179873,5.92102244307,5815,2020,984,31,Limburg,Venray
51.2562519478,5.70855731651,6001,2020,988,31,Limburg,Weert
51.1485377226,5.89923546097,6051,2020,1641,31,Limburg,Maasgouw
51.2736853635,5.92475675025,6088,2020,1640,31,Limburg,Leudal
51.1862561051,5.88706963348,6097,2020,1641,31,Limburg,Maasgouw
50.9027475944,5.81930628103,6333,2020,1954,31,Limburg,Beekdaelen
50.9332173276,5.99311490761,6445,2020,899,31,Limburg,Brunssum
51.8356719109,5.86568894636,6524,2020,268,25,Gelderland,Nijmegen
51.8588849752,5.76916502471,6641,2020,209,25,Gelderland,Beuningen
51.8526388914,5.76386366058,6642,2020,209,25,Gelderland,Beuningen
51.8652751033,5.86439511614,6663,2020,268,25,Gelderland,Nijmegen
52.1070666173,6.15994847698,6971,2020,213,25,Gelderland,Brummen
51.9437139208,6.46825432567,7051,2020,1509,25,Gelderland,Oude IJsselstreek
52.1610755827,6.41382658169,7241,2020,262,25,Gelderland,Lochem
52.10750382,6.51328027338,7271,2020,1859,25,Gelderland,Berkelland
52.2373499896,5.97280807136,7317,2020,200,25,Gelderland,Apeldoorn
52.1951282616,5.93957405333,7336,2020,200,25,Gelderland,Apeldoorn
52.3121972972,6.89607522032,7576,2020,173,23,Overijssel,Oldenzaal
52.3257833874,6.91558576503,7577,2020,173,23,Overijssel,Oldenzaal
52.2339263316,6.98677305441,7585,2020,168,23,Overijssel,Losser
52.4397309837,6.88380130672,7662,2020,183,23,Overijssel,Tubbergen
52.7263127532,6.48982425768,7902,2020,118,22,Drenthe,Hoogeveen
52.7163285062,6.48627083916,7906,2020,118,22,Drenthe,Hoogeveen
52.6995856523,6.10473951348,7946,2020,1708,23,Overijssel,Steenwijkerland
52.7337234347,6.26961796827,7961,2020,1690,22,Drenthe,De Wolden
52.8293515772,6.29802371882,7986,2020,1701,22,Drenthe,Westerveld
52.4814874969,6.09883175154,8016,2020,193,23,Overijssel,Zwolle
52.4977293444,6.16732302666,8026,2020,193,23,Overijssel,Zwolle
52.6706332325,6.06487709208,8066,2020,1708,23,Overijssel,Steenwijkerland
52.4398905287,5.91710319324,8096,2020,269,25,Gelderland,Oldebroek
52.4070000179,6.36562459136,8105,2020,177,23,Overijssel,Raalte
52.5396626036,5.48989184137,8222,2020,995,24,Flevoland,Lelystad
52.7980198986,6.08990819417,8334,2020,1708,23,Overijssel,Steenwijkerland
52.7660107628,6.11739568573,8343,2020,1708,23,Overijssel,Steenwijkerland
52.8767289379,6.18564511436,8385,2020,1701,22,Drenthe,Westerveld
53.0379351519,5.98381339914,8406,2020,86,21,Fryslân,Opsterland
52.9460922335,5.94192887853,8443,2020,74,21,Fryslân,Heerenveen
52.9519557161,5.91732140409,8446,2020,74,21,Fryslân,Heerenveen
52.9098324047,5.90469178548,8462,2020,1940,21,Fryslân,De Fryske Marren
52.9594758722,5.89862386551,8466,2020,1940,21,Fryslân,De Fryske Marren
53.0232871192,5.53879026331,8615,2020,1900,21,Fryslân,Súdwest-Fryslân
52.972543764,5.59505846241,8621,2020,1900,21,Fryslân,Súdwest-Fryslân
53.0092614382,5.69710773912,8625,2020,1900,21,Fryslân,Súdwest-Fryslân
53.0547108217,5.70135574094,8628,2020,1900,21,Fryslân,Súdwest-Fryslân
53.0791522702,5.60265526687,8737,2020,1900,21,Fryslân,Súdwest-Fryslân
53.0903606914,5.54244486876,8742,2020,1900,21,Fryslân,Súdwest-Fryslân
53.1650503059,5.66985635836,8832,2020,80,21,Fryslân,Leeuwarden
53.1684073998,5.60128800095,8842,2020,1949,21,Fryslân,Waadhoeke
53.3776983715,5.2124112645,8881,2020,93,21,Fryslân,Terschelling
53.0719832071,5.78433717928,9011,2020,80,21,Fryslân,Leeuwarden
53.1874409423,5.64708497881,9035,2020,1949,21,Fryslân,Waadhoeke
53.2772219081,5.57355213071,9075,2020,1949,21,Fryslân,Waadhoeke
53.2230098624,5.81149421861,9083,2020,80,21,Fryslân,Leeuwarden
53.314703059,5.95401772773,9106,2020,1891,21,Fryslân,Dantumadiel
53.3476231131,6.07374841882,9124,2020,1970,21,Fryslân,Noardeast-Fryslân
53.1458335669,6.09688137121,9221,2020,90,21,Fryslân,Smallingerland
53.1073167853,6.2055277318,9249,2020,86,21,Fryslân,Opsterland
53.0385629353,6.62065915217,9485,2020,1730,22,Drenthe,Tynaarlo
53.033553515,6.51626246714,9488,2020,106,22,Drenthe,Assen
52.9457511557,6.8109841074,9527,2020,1681,22,Drenthe,Borger-Odoorn
52.9483062197,7.12864239305,9551,2020,1950,20,Groningen,Westerwolde
53.0732166462,7.15052441155,9699,2020,1950,20,Groningen,Westerwolde
53.3057060351,6.53295843384,9773,2020,1966,20,Groningen,Het Hogeland
53.2916531636,6.74117612536,9792,2020,14,20,Groningen,Groningen
53.1958152838,6.4174847993,9827,2020,1969,20,Groningen,Westerkwartier
53.2069506099,6.28132821171,9861,2020,1969,20,Groningen,Westerkwartier
53.3038143701,6.39059726305,9883,2020,1969,20,Groningen,Westerkwartier
53.3342470311,6.33912448607,9973,2020,1966,20,Groningen,Het Hogeland
51.6467310324,4.86731077211,4901,2020,826,30,Noord-Brabant,Oosterhout
52.9564129898,5.9292944219,8442,2020,74,21,Fryslân,Heerenveen
52.3934184154,4.9320827672,1022,2020,363,27,Noord-Holland,Amsterdam
52.3684077729,4.85357798537,1057,2020,363,27,Noord-Holland,Amsterdam
52.372004829,4.82118810708,1064,2020,363,27,Noord-Holland,Amsterdam
52.3037137685,5.23931937425,1271,2020,406,27,Noord-Holland,Huizen
52.386319178,5.24686222376,1318,2020,34,24,Flevoland,Almere
